Match Key,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3
qm1,2186,7770,1719,1727,8197,6239
qm2,4505,5830,4099,1629,3748,8592
qm3,623,5587,686,888,8726,2914
qm4,2199,1389,4505,8197,620,1915
qm5,2914,5830,623,4099,6239,2186
qm6,3758,888,686,1915,1727,8592
qm7,2199,1719,8726,1389,1629,7770
qm8,5587,4099,8197,620,686,1727
qm9,6239,4505,888,2186,1389,3748
qm10,5587,2914,1629,2199,7770,1915
qm11,1719,8592,5830,623,620,8726
qm12,888,1727,5587,1629,4505,2186
qm13,7770,6239,5830,686,8592,2199
qm14,4099,1915,623,8726,8197,1389
qm15,2914,3748,7770,620,1719,4505
qm16,1915,686,1389,8592,2186,5587
qm17,1719,4099,888,5830,2199,8197
qm18,6239,2914,620,8726,1629,1727
qm19,5587,4505,3748,2186,623,2199